34899223,karen@mail.com,112233,Karen,Simari,Paz1300,154645567,OSDE
32889990,carolina@mail.com,445566,Carolina,Levy,Alem1200,154637788,SwissMedical
34555666,maria@mail.com,3245,Maria,Perez,Garibaldi330,154687966,Galeno
<<<<<<< HEAD
30999283,juan@mail.com,4567,Juan,Martinez,Rodriguez1080,154589433,Particular
=======
30999283,juan@mail.com,4567,Juan,Martinez,Rodriguez1080,154589433,Particular
123,waaa@mail.com,123,wa,wa,13123,12,14fsad
124,lu@mail.co,111,lu,asd,ag,34565,fdgs
2256355,Karen@gmail.com,112233,Karen,ksdhf,sarmiento,5311+6,ksdfoids
>>>>>>> c2ce0f4... h
